"Question Number","Question","Answer 1(correct one)","Answer 2","Answer 3","Answer 4","FB2/image_path"
"278","Welche Treibstoffe werden für Antriebsmotoren von Sportbooten am meisten verwendet","Benzin, Diesel","Schweröl, Leichtbenzin","Methanol, Leichtöl","Kerosin, Gasöl",""
"279","Sie verbrauchen 25 l Treibstoff pro Stunde bei 20 kn Fahrt. Ihr Tankinhalt ist 400 l, wie groß ist Ihre Reichweite","320 sm","500 sm","160 sm","200 sm",""
"280","Wodurch kann weißer Rauch im Auspuff entstehen","Wasserdampf","Luftverschmutzung","Öldampf","diesiges Wetter",""
"281","Warum müssen Wendegetriebe oft gekühlt werden","Weil ein Teil der Motorleistung im Getriebe verbraucht wird","Weil der Motor das Getriebe durch Wärmeleitung erhitzt","Weil beim Manövrieren die Schaltwärme frei wird","Weil ein Teil des Getriebes durch die Auspuffgase erhitzt wird",""
"282","Was versteht man unter Eigenzündung","Zündung durch Einspritzung in hoch komprimierte Luft","Zündung mittels Zündkerzen","Zündung durch Einspritzung in den Vergaser","Zündung mittels Glühkerzen",""
"283","Wofür dient die Schraube unten am Wasserabscheider","zum Ablassen des Wassers","zum Einfüllen des Wassers","zum Ablassen des Treibstoffes","zum Öffnen des Filtergehäuses",""
"284","Wozu dient ein Schwanenhals im Auspuffsystem","er verhindert, dass Seewasser eindringt","er sorgt dafür dass die Leitungen so lange werden, dass keine Resonanzen auftreten","er ist eine Verlängerung um den Auspuff so hoch wie möglich zu bringen","er bewirkt, dass nur Gase austreten können",""
"285","Was ist ein Wendegetriebe und welche Funktion erfüllt es","ist ein Getriebe, das die Drehrichtung der Antriebswelle ändert","ist ein Getriebe, das die Motordrehzahl zur Welle verdreifacht","ist ein Getriebe, das die Wellenrichtung ändert (von horizontal auf Neigung ins Wasser)","ist ein Getriebe, das universell angewendet werden kann (kann auch verkehrt herum eingebaut werden)",""
"286","Welche Motoren brauchen einen Ölanteil im Kraftstoff","Zweitaktmotoren","Dreizylindermotoren","Turbomotoren","Viertaktmotoren",""
"287","Was verdichtet der Turbolader","die Ansaugluft des Motors","das Schmieröl der Kolbenringe","den Dieselkraftstoff der in die Zylinder eingespritzt wird","das Kühlwasser des Motors",""
"288","Wann nennt man einen Propeller rechtsgängig","wenn er bei Vorausfahrt in Fahrtrichtung gesehen nach rechts schlägt","wenn er bei Achterausfahrt in Bugrichtung gesehen nach rechts schlägt","wenn er bei Vorausfahrt gegen die Fahrtrichtung gesehen nach rechts schlägt","wenn er bei Achterausfahrt das Heck nach rechts versetzt",""
"289","Was ist die Ursache von milchigem Motoröl","Wasser im Öl","Benzin im Öl","Diesel im Öl","Öl ist durch Überhitzung zu heiß geworden, schmiert und kühlt nicht mehr",""
"290","Welche Routinekontrollen sollten am Schiffsmotor regelmäßig gemacht werden","Ölstand, Keilriemen, Motorbilge","Lüfterzahnriemen, Wasserfluss, Lüfterfilter","Impeller öffnen und Wasserabscheider öffnen","Wasser im Außenkreis, Öl im Innenkreis",""
"291","Was bezeichnet man als Schlupf beim Propeller","den Unterschied zwischen dem theoretisch möglichen Weg und dem tatsächlichen Weg","den Unterschied zwischen der Geschwindigkeit des Propellerstrahles und der Bootsgeschwindigkeit","den Unterschied zwischen der Propellerdrehzahl und dem Wellenantrieb","den Unterschied zwischen der Propellerdrehzahl und der Motordrehzahl",""
"292","Was benötigen Gleitboote wegen der höheren Geschwindigkeit","kleinere Ruderblätter","dickere Ruderblätter","tiefere Ruderblätter","größere Ruderblätter",""
"293","Um Vibrationen zu vermeiden kann man die Drehzahl der Motoren eines Zweischraubenschiffes auf gleiche Drehzahl bringen. Wodurch wird das erleichtert","einen Differenzdrehzahlmesser","eine Differenzeinspritzpumpe","einen Differenzeliminator","einen Differenzgashebel",""
"294","Wie nennt man Boote, die ihre Rumpfgeschwindigkeit wesentlich überschreiten","Gleiter","Raser","Verdränger","Flachboote",""
"295","Wodurch wird der Übergang von Verdrängerfahrt in Gleitfahrt leichter erreicht","weniger Gesamtgewicht","Gewichtsverlagerung nach achtern","Schräglage nach Backbord oder Steuerbord","Propeller mit Overdrive",""
"296","Womit kann die Lage der Längsachse eines Gleiters getrimmt werden","Trimmklappen","Trimmruder","Trimmschraube","Trimmstäbe",""
"297","Womit kann die Lage der Längsachse eines Gleiters getrimmt werden","mit dem Anstellwinkel der Propellerachse","mit dem Anstellwinkel des Stevenrohres","mit den Kavitationsplatten unter dem Propeller","mit dem Längsruder des Z-Triebes",""
"298","Was bewirkt in Gleitfahrt ein Hinunterfahren der Trimmklappen","der Bug taucht mehr ein","die Heckwelle verschwindet","das Heck taucht mehr ein","das Ruder wird weniger angeströmt",""
"299","Wann ist die Ruderwirkung besonders groß","wenn der Propellerstrahl das Ruder direkt anströmt","wenn das Ruder seitlich vom Propeller ist","wenn der Propellerstrahl das Ruder nicht behindert","wenn der Propeller eine große Steigung hat",""
"300","Haben Motorboote eine Abdrift","ja, aufgrund des kleinen Lateralplanes","nur bei höherer Geschwindigkeit","nein, Motorboote haben keine Abdrift","ja, aber wenig wegen des großen Lateralplanes",""
"301","Welche Want steht unter besonderer Belastung","Die luvseitige Want","Die hintere Want","Die vordere Want","Die leeseitige Want",""
"302","Welche Hilfsmittel kann ein Vorsegel haben, um den Anstellwinkel korrekt ein zu stellen","Trimmfäden entlang des Vorlieks helfen bei der Einstellung","Für die korrekte Einstellung gibt es keine Hilfsmittel","Trimmmarkierungen an den Vorschoten helfen bei der Einstellung","Trimmfäden entlang des Achterlieks helfen bei der Einstellung",""
"303","Wie kann ein Segelschiff nach einem Ruderbruch notfalls noch gesteuert werden","Wenn das Ruderblatt noch intakt ist mit der Notpinne","Durch Gewichtsverlagerung nach Luv oder nach Lee","Durch einen Treibanker am Heck der Jacht befestigt.","Gar nicht, ein Segelboot ohne Ruder muss abgeschleppt werden",""
"304","Wie setzt man ein Lattengroßsegel","Das Großfall wird angeholt, bis der Segelkopf im Masttop ist. Danach das Vorliek des Großsegels kräftig durchsetzen","Das Großfall wird gefiert, bis der Segelkopf im Masttop ist. Danach das Vorliek des Großsegels kräftig durchsetzen","Die Großschot wird gefiert, bis der Segelkopf im Masttop ist. Danach das Vorliek des Großsegels kräftig durchsetzen","Die Großschot wird angeholt, bis der Segelkopf im Masttop ist. Danach das Vorliek des Großsegels kräftig durchsetzen",""
"305","Welche Maßnahmen sind unter anderem sinnvoll nach einem Mastbruch","Sofern möglich aus den Bruchstücken des Riggs ein behelfsmäßiges Notrigg bauen","Da die noch am stehenden Gut hängenden Teile des gebrochen Mastes in den Propeller der Maschine geraten könnten, kann nur noch Schlepphilfe angefordert werden","Sämtliche Teile des Riggs von der Jacht entfernen und mit Maschine weiterfahren","Die noch am stehenden Gut hängenden Teile des gebrochen Mastes als Treibanker verwenden und mit Maschine weiter fahren",""
"306","Aus welchem Material werden moderne Segel meist gefertigt","Aus Polyester","Aus Epoxyidharz","Aus Leinen","Aus Baumwolle",""
"307","Wie funktioniert das Mast-Roll-Reff","Unterliekstrecker fieren und die Reffleine anholen, bis die gewünschte Segelfläche im Mast eingerollt ist. Danach den Unterliekstrecker durchsetzen","Großfall durchsetzen und Reffleine fieren, bis die gewünschte Segelfläche im Mast eingerollt ist. Danach Reffleine wieder durchsetzen","Unterliekstrecker anholen, bis die gewünschte Segelfläche im Mast eingerollt ist","Großfall fieren und Reffleine anholen, bis die gewünschte Segelfläche im Mast eingerollt ist. Danach Großfall durchsetzen",""
"308","Wie legen Sie unter Segel in Hinblick auf den Wind an einer Boje an","Immer gegen den Wind","Immer mit dem Wind","Immer mit leeseitigem Wind","Immer mit Seitenwind",""
"309","Was ist eine Halse und wie läuft sie ab","Kursänderung mit dem Heck durch den Wind. Das Großsegel muss vorher dicht genommen werden, damit es nicht unkontrolliert auf den anderen Bug schlägt","Eine Kursänderung mit dem Bug durch den Wind. Das Vorsegel muss mit den Vorschoten auf den anderen Bug geholt werden","Ein Kursänderung mit dem Bug durch den Wind. Das Großsegel muss mit mit der Großschot auf den anderen Bug geholt werden","Eine Kursänderung mit dem Heck durch den Wind. Das Vorsegel muss vorher dicht genommen werden, damit es nicht unkontrolliert auf den anderen Bug schlägt",""
"310","Was bedeutet das Kommando Rund Achtern","Eine Anweisung an den Rudergänger, das Heck des Schiffes durch den Wind zu drehen","Eine Anweisung an den Rudergänger, den Bug des Schiffes durch den Wind zu drehen","Der Hinweis des Schiffsführers, dass das Heck des Schiffes gerade durch den Wind dreht","Eine Anweisung an den Vorschoter, das Vorsegel auf den anderen Bug zu holen",""
"311","Kann ein Boot schneller segeln als mit der Geschwindigkeit des wahren Windes","Ja, außer auf Kurs vor dem Wind","Ja, aber nur auf Kurs vor dem Wind","Ja, auf allen Kursen","Nein",""
"312","Wie nennt man das nebenstehend abgebildete Diagramm","Polardiagramm","Schmetterlingsdiagramm","Höhendiagramm","VMG-Diagramm","FB2/image_312.png"
"313","Was bewirkt ein weit nach vorne eingestellter Vorschot-Holepunkt","Das Achterliek des Vorsegels wird stark, das Unterliek schwach durchgesetzt. Das Segel wird im oberen Drittel flach, im unteren eher bauchig","Das Achterliek des Vorsegels wird stark, das Unterliek schwach durchgesetzt. Das Segel wird im oberen Drittel bauchig, im unteren eher flach","Das Achterliek des Vorsegels wird schwach, das Unterliek stark durchgesetzt. Das Segel wird im oberen Drittel bauchig, im unteren eher flach","Das Achterliek des Vorsegels wird schwach, das Unterliek stark durchgesetzt. Das Segel wird im oberen Drittel flach, im unteren eher bauchig",""
"314","Welche Sofortmaßnahmen unter anderem sind sinnvoll, wenn eine Want bricht","Sofort wenden, damit die gebrochene Want auf der Leeseite ist","Sofort halsen, damit die gebrochene Want auf der Luvseite ist","Sofort wenden, damit die gebrochene Want auf der Luvseite ist","Sofort halsen, damit die gebrochene Want auf der Leeseite ist",""
"315","Wie wird ein Baum Rollgroßsegel geborgen","Großfall fieren und Reffleine anholen, bis das Segel in den Baum gerollt ist","Großfall anholen und das Segel sorgfältig auf den Baum falten","Großfall fieren und das Segel sorgfältig auf den Baum falten","Unterliekstrecker fieren und Reffleine anholen, bis das Segel in den Mast gerollt ist",""
"316","Welche Segel setzen Sie auf Kurs am Wind bei etwa 3 Beaufort","Genua, Großsegel","Genua, Trysegel","Spinnaker, Großsegel","Sturmfock, Großsegel",""
"317","Welche Vorteile hat ein sogenannter Langkiel","Die Jacht ist wenig wendig aber sehr kursstabil","Die Jacht ist etwas luvgieriger und kann damit härter am Wind gesegelt werden","Die Jacht ist etwas leegieriger und kann damit schneller am Wind gesegelt werden","Die Jacht ist sehr wendig aber wenig kursstabil",""
"318","Wie wird die Stabilität in der Regel bei einem Mehrrumpfsegelboot erreicht","Rumpfes (möglichst breit). Es ist formstabil","Durch die Gewichtsverteilung (möglichst hohes Gewicht möglichst weit unten). Es ist gewichtsstabil","Durch die Form des Rumpfes (möglichst schmal). Es ist formstabil","Durch die Gewichtsverteilung (möglichst geringes Gewicht möglichst weit unten). Es ist gewichtsstabil",""
"319","Sie legen längsseits unter Segel an, welche Leine sollten sie zurest legen","Eine Vorspring","Eine vordere Brustleine","Eine Achterspring","Eine Vorleine",""
"320","Auf welchem Kurs ist die Abdrift am größten","Auf einem Kurs hart am Wind","Auf einem Kurs raumer Wind","Auf einem Kurs vor dem Wind","Auf einem Kurs halber Wind",""
"321","Wie entsteht der Auftrieb im Segel","Durch unterschiedliche Strömungsgeschwindigkeiten des Windes entlang des Segels, in Luv langsamer, in Lee schneller, entsteht Auftrieb","Durch unterschiedliche Strömungsgeschwindigkeiten des Windes entlang des Segels, in Luv schneller, in Lee lansamer, entsteht Auftrieb","Durch exakt gleiche Strömungsgeschwindigkeiten des Windes entlang des Segels entsteht Auftrieb","Durch ausgedehnte Turbulenzen auf der Leeseite entsteht ein Druck auf der Luvseite des Segels, wodurch die Jacht angetrieben wird",""
"322","Was versteht man unter dem Begriff leegierig","Wenn das Boot selbstständig nach Lee dreht","Wenn das Boot nach Luv gesteuert wird","Wenn das Boot nach Lee gesteuert wird","Wenn das Boot selbstständig nach Luv dreht",""
"323","Was tun Sie auf einer Segeljacht mit Hilfsmaschine unter anderem, wenn eine Person über Bord geht während Sie unter Segel fahren","Zur Unterstützung des unter Segel gefahrenen Manövers die Maschine starten","Maschine starten und mit Retourgang zur über Bord gegangenen Person zurückfahren","Die Maschine starten, damit genügend Strom für die Rettungssysteme bereit steht, aber auf keinen Fall einen Gang einlegen.","Auf keinen Fall die Maschine starten, da die Person durch den Propeller gefährdet werden könnte",""
"324","Was ist ein Polardiagramm","Das Polardiagramm stellt die Sollgeschwindigkeit eines Segelschiffes in Abhängigkeit von der Windstärke und dem Kurs zum Wind dar","Das Polardiagramm stellt die maximale Höhe die ein Segelschiff laufen kann dar","Das Polardiagramm stellt dar, ab welcher Windstärke ein Segelschiff ins Gleiten kommt","Das Polardiagramm stellt die Istgeschwindigkeit eines Segelschiffes in Abhängigkeit von der Windstärke und dem Kurs zum Wind dar",""
"325","Was ist beim Kreuzen zu beachten, wenn Sie die voraussichtliche Fahrzeit berechnen wollen","Dass eine Jacht für gewöhnlich auf beiden Bügen unterschiedliche Geschwindigkeit und Höhe läuft","Dass eine Jacht für gewöhnlich auf beiden Bügen zwar unterschiedliche Geschwindigkeit aber gleiche Höhe läuft","Dass eine Jacht für gewöhnlich auf beiden Bügen zwar gleiche Geschwindigkeit aber unterschiedliche Höhe läuft","Dass eine Jacht für gewöhnlich auf beiden Bügen gleiche Geschwindigkeit und Höhe läuft",""
"326","Welche Vorteile hat ein sogenannter Kurzkiel","Die Jacht ist sehr wendig aber wenig kursstabil","Die Jacht ist wenig wendig aber sehr kursstabil","Die Jacht ist etwas luvgieriger und kann damit härter am Wind gesegelt werden","Die Jacht ist etwas leegieriger und kann damit schneller am Wind gesegelt werden",""
"327","Was ist eine Wende und wie läuft sie ab","Eine Kursänderung mit dem Bug durch den Wind. Das Vorsegel muss mit den Vorschoten auf den anderen Bug geholt werden","Eine Kursänderung mit dem Heck durch den Wind. Das Vorsegel muss vorher dicht genommen werden, damit es nicht unkontrolliert auf den anderen Bug schlägt","Eine Kursänderung mit dem Bug durch den Wind. Das Großsegel muss mit mit der Großschot auf den anderen Bug geholt werden","Eine Kursänderung mit dem Heck durch den Wind. Das Großsegel muss vorher dicht genommen werden, damit es nicht unkontrolliert auf den anderen Bug schlägt",""
"328","Was sind die Nachteile einer Rollgenua","Im gerefften Zustand ist der Schnitt des Segels nicht mehr optimal","Segellatten können nur noch vertikal ins Vorsegel eingearbeitet werden","Aufgrund des gerollten Segels ist nicht jede Segeltuchgröße realisierbar","Segellatten können nur noch horizontal eingearbeitet werden",""
"329","Bei welchen Bedingungen sollte eine Sturmfock verwendet werden","Bei Starkwind oder Sturm","Nur bei Kursen vor dem Wind","Bei leichtem Wind","Nur bei Kursen Am Wind",""
"330","Bei welchen Bedingungen sollte eine Genua gesetzt werden","Bei Leichtwind","Nur bei Kursen am Wind","Bei Starkwind","Nur bei Kursen vor dem Wind",""
"331","Welches Segel wird auf einer Slup üblicherweise zuerst gerefft und warum","Das Großsegel, um der durch starke Krängung entstehenden Luvgierigkeit entgegen zu wirken","Das Großsegel um der bei starker Krängung entstehenden Leegierigkeit entgegen zu wirken","Das Vorsegel um der durch starke Krängung entstechenden Luvgierigkeit entgegen zu wirken","Das Vorsegel um der bei starker Krängung entstehenden Leegierigkeit entgegen zu wirken",""
"332","Was wird als Holebug beim Segeln bezeichnet","Der Kurs beim Kreuzen, mit dem Höhe gewonnen wird, ohne sich dem Ziel zu nähern","Der Kurs beim Kreuzen, auf dem sich die Jacht dem Ziel nähert","Die kürzeste Verbindung zwischen Start und Ziel","Der Kurs, bei dem direkt auf das Ziel zugefahren werden kann",""
"333","Welchen Vorteil hat ein Saildrive gegenüber einer starren Welle","Weniger Radeffekt, da sich der Antrieb in Längsrichtung der Jacht gesehen nahe der Schiffsmitte befindet","Es reichen Maschinen mit geringer Antriebsleistung aus, da der Antrieb wesentlich effizienter ist.","Der Antrieb kann mit einer höheren Antriebsleistung belastet werden","Mehr Radeffekt, da sich der Antrieb in Längsrichtung der Jacht gesehen nahe des Hecks befindet",""
"334","Sie legen längsseits unter Segel an, welche Leine sollten sie zuerst legen","Eine Vorspring","Eine Achterspring","Eine vordere Brustleine","Eine Vorleine",""
"335","Wie reffen Sie ein Mast Rollgroßsegel aus","Reffleine fieren und Unterliekstrecker anholen, bis das Unterliek des Segels durchgesetzt ist","Großfall fieren und Reffbändsel lösen, bis das Vorliek des Segels durchgesetzt ist","Großfall anholen und Reffbändsel lösen, bis das Vorliek des Segels durchgesetzt ist","Reffleine anholen und Unterliekstrecker fieren, bis das Unterliek des Segels durchgesetzt ist",""
"336","Was ist ein Vorschotholepunkt","Ein verstellbarer Angriffspunkt der Vorschot zum besseren Trimmen des Vorsegels","Der Teil der Vorschot, die mit dem Vorsegel verbunden ist, damit dieses geholt und gefiert werden kann","Der Punkt auf der Jacht, an dem die Vorschoten von der Mannschaft geholt und gefiert werden","Der Punkt auf der Jacht, an dem das Vorsegel am besten angeholt werden kann",""
"337","Wie trimmen Sie das Großsegel bei Kurs raumer Wind","Großschot soweit fieren, dass das Großsegel gerade nicht killt","Großschot soweit fieren, dass das Großsegel leicht killt","Großschot so dicht wie nur möglich holen","Großschot so weit wie möglich auffieren",""
"338","Was bedeutet es, wenn die Trimmfäden im Vorsegel auf der Leeseite des Segels nach oben wehen","Das Segel ist zu weit angeholt","Die Trimmfäden spielen nur bei Regatten eine Rolle","Das Segel ist zu weit gefiert","Der Kurs zum Wind ist etwas zu hart am Wind, es muss noch etwas abgefallen werden",""
"339","Wie fällt der scheinbare Wind auf Kurs am Wind ein","Vorlicher und stärker als der wahre Wind","Achterlicher und stärker als der wahre Wind","Achterlicher und schwächer als der wahre Wind","Vorlicher und schwächer als der wahre Wind",""
"340","Wie wird eine Rollgenua gesetzt","Reffleine fieren, Genuaschot am gewünschten Bug anholen","Reffleine anholen, Genuaschot am gewünschten Bug fieren","Reffleine fieren, Genuafall am gewünschten Bug anholen","Reffleine anholen, Genuafall am gewünschten Bug fieren",""
"341","Was versteht man unter dem Begriff luvgierig","Wenn das Boot selbstständig nach Luv dreht","Wenn das Boot selbstständig nach Lee dreht","Wenn das Boot nach Lee gesteuert wird","Wenn das Boot nach Luv gesteuert wird",""
"342","Was bedeutet das Kommando Ree","Eine Anweisung an den Rudergänger, den Bug des Schiffes durch den Wind zu drehen","Der Hinweis des Schiffsführers, dass der Bug des Schiffes gerade durch den Wind dreht","Eine Anweisung an den Rudergänger, das Heck des Schiffes durch den Wind zu drehen","Eine Anweisung an den Vorschoter, das Vorsegel auf den anderen Bug zu holen",""
"343","Wie wird ein Lattengroß geborgen","Großfall fieren und das Großsegel sorgfältig auf den Baum falten","Großfall fieren und Reffleine anholen, bis das Segel um den Baum gewickelt ist","Unterliekstrecker fieren und Reffleine anholen, bis das Großsegel in den Baum gerollt ist","Großfall anholen und das Großsegel sorgfältig auf den Baum auftuchen",""
"344","Wozu dient der Traveller","Zum besseren Trimmen des Großsegels","Zum besseren Trimmen des Vorsegels","Zum Einstellen der Vorspannung des Achterstags","Wird nur für den Spinnaker verwendet",""
"345","Welche Art zum Reffen eines Großsegels kennen Sie","Bindereff","Verzurrreff","Lattenreff","Drehreff",""
"346","Welche Eingenschaften hat ein gewichtsstabiles Boot","Es kann nicht kentern","Es ist nicht luvgierig","Es ist nicht leegierig","Es kann nicht sinken",""
"347","Was bedeutet der Begriff Kutter getakelt","Die Jacht ist mit mindestens zwei Vorsegeln getakelt","Die Jacht ist mit mindestens zwei Masten ausgerüstet","Die Jacht ist mit maximal einem Vorsegel getakelt","Die Jacht ist mit höchstens einem Mast ausgerüstet",""
"348","Welche Antriebsart ist hier abgebildet","Ein Saildrive","Ein Z-Trieb","Ein Jettrieb","Ein Wellenantrieb","FB2/image_348.png"
"349","Welche Sofortmaßnahmen sind unter anderem sinnvoll bei einem Mastbruch","Versuchen, die gebrochenen Teile des Mastes an Deck zu sichern","Versuchen, das Durchkentern zu verhindern","Sofort das Boot verlassen und ans Ufer schwimmen","Versuchen, das Boot durchkentern zu lassen und beim Boot auf Hilfe warten",""
"350","Wie trimmen Sie das Großsegel bei Kurs am Wind","Großschot soweit anholen, dass das Großsegel nicht killt","Großschot so weit wie möglich auffieren","Großschot soweit fieren, dass das Großsegel leicht killt","Großschot so dicht wie nur möglich holen",""
"351","Was ist das laufende Gut","Alle Leinen in der Takelage, die nicht zum Abstützen des Mastes dienen","Wanten und Stage","Alle Leinen in der Takelage, die zur Abstützung des Mastes dienen","Alle Leinen an Bord, die durch Blöcke laufen",""
"352","Wie steuern Sie unter Segel in Hinblick auf den Wind einen Ankerplatz an","Immer gegen den Wind","Immer mit leeseitigem Wind","Immer vor dem Wind","Immer mit Wind von der Seite",""
"353","Wie reffen sie bei einem Bindereffsystem aus","Reffbändsel lösen und das Großfall anholen, bis das Vorliek des Großsegels durchgesetzt ist","Reffbändsel lösen und Reffleine anholen, bis das Vorliek des Großsegels durchgesetzt ist","Reffleine fieren und Unterliekstrecker anholen, bis das Unterliek des Segels durchgesetzt ist","Reffleine anholen und Unterliekstrecker fieren, bis das Unterliek des Segels durchgesetzt ist",""
"354","Welche Vorteile hat ein Bindereff System gegenüber einer Rollreffanlage bei einem Großsegel","Bindereffsysteme sind technisch weniger aufwendig und damit weniger fehleranfällig","Mit Bindereffsystemen können Segel stufenlos gerefft werden","Bei Bindereffsystemen werden immer weniger Leinen verwendet als bei Rollreffsystemen","Bindereffsysteme sind leichter zu handhaben",""
"355","Womit wird das Vorsegel unter anderem auf den korrekten Anstellwinkel eingestellt","Mit den Vorschoten","Mit der Großschot","Mit dem Vorliekstrecker","Mit dem Unterliekstrecker",""
"356","Was bewirkt ein weit nach hinten eingestellter Vorschot-Holepunkt","Das Achterliek des Vorsegels wird schwach, das Unterliek stark durchgesetzt. Das Segel wird im oberen Drittel bauchig, im unteren eher flach","Das Achterliek des Vorsegels wird stark, das Unterliek schwach durchgesetzt. Das Segel wird im oberen Drittel flach, im unteren eher bauchig","Das Achterliek des Vorsegels wird schwach, das Unterliek stark durchgesetzt. Das Segel wird im oberen Drittel flach, im unteren eher bauchig","Das Achterliek des Vorsegels wird stark, das Unterliek schwach durchgesetzt. Das Segel wird im oberen Drittel bauchig, im unteren eher flach",""
"357","Was tun Sie auf einer Segeljacht mit Hilfsmaschine unter anderem, wenn eine Person über Bord geht während Sie unter Segel fahren","Zur Unterstützung des unter Segel gefahrenen Manövers die Maschine starten","Auf keinen Fall die Maschine starten, da die Person durch den Propeller gefährdet werden könnte","Die Maschine starten, damit genügend Strom für die Rettungssysteme bereit steht, aber auf keinen Fall einen Gang einlegen.","Maschine starten und mit Retourgang zur über Bord gegangenen Person zurückfahren",""
"358","Wie setzt sich der scheinbare Wind zusammen","Aus wahrem Wind und Fahrtwind","Aus Fahrtwind und relativem Wind","Aus wahrem Wind und relativem Wind","Aus Land- und Seewind",""
"359","Wie entsteht die Kraft im Segel, die ein Segelboot mit Schratsegel antreibt","Durch unterschiedliche Strömungsgeschwindigkeiten des Windes entlang des Segels, in Luv langsamer, in Lee schneller, entsteht Auftrieb","Durch exakt gleiche Strömungsgeschwindigkeiten des Windes entlang des Segels entsteht Auftrieb","Durch unterschiedliche Strömungsgeschwindigkeiten des Windes entlang des Segels, in Luv schneller, in Lee lansamer, entsteht Auftrieb","Durch ausgedehnte Turbulenzen auf der Leeseite entsteht ein Druck auf der Luvseite des Segels, wodurch die Jacht angetrieben wird",""
"360","Wie legen Sie unter Segel in Hinblick auf den Wind an einer Boje an","Immer gegen den Wind","Immer mit dem Wind","Immer mit Seitenwind","Immer mit leeseitigem Wind",""
"361","Wie heißt der mit dem Pfeil gekenntzeichnete Gegenstand","Unterliekstrecker","Vorliekstrecker","Kantenspanner","Unterliekspanner","FB2/image_361.png"
"362","Wie wird ein Mast Rollgroßsegel geborgen","Unterliekstrecker fieren und Reffleine anholen, bis das Segel in den Mast gerollt ist","Großfall fieren und das Segel sorgfältig auf den Baum falten","Großfall fieren, Reffleine anholen bis das Segel in den Baum gerollt ist","Großfall anholen und das Segel sorgfältig auf den Baum falten",""
"363","Wie funktioniert das Bindereff","Das Großfall fieren, bis die gewünschte Reihe von Reffkauschen zum Baum gekommen ist. Danach mit Reffbändsel am Baum anbinden, das Großfall wieder durchsetzen","Schoten leicht fieren. Durch Anholen der Reffleine wird die gewünschte Segelfläche eingerollt. Danach Reffleine belegen","Das Fockfall wird gefiert und das überschüssige Segel an der Reling festgebunden. Anschließend wird das Fockfall wieder durchgesetzt","Das Großfall wird gefiert und das restliche Segel um den Baum gewickelt. Anschließend das Großfall wieder durchsetzen",""
"364","Wie wird ein Mast-Rollgroßsegel gesetzt","Reffleine, falls vorhanden, fieren, Unterliekstrecker anholen, bis die gewünschte Segelfläche gesetzt ist","Reffleine, falls vorhanden, anholen, Großfall fieren, bis die gewünschte Segelfläche gesetzt ist","Reffleine, falls vorhanden, anholen, Unterliekstrecker fieren, bis die gewünschte Segelfläche gesetzt ist","Reffleine, falls vorhanden, fieren, Großfall anholen, bis die gewünschte Segelfläche gesetzt ist",""
"365","Was ist eine Slup","Ein Segelboot mit einem Mast, einem Vorsegel und einem Großsegel","Ein Segelboot mit zwei Masten, wobei der hinter Mast höher als der vordere ist","Ein Segelboot mit zwei Masten, wobei der vordere Mast höher als der hintere ist","Ein Segelboot mit einem Mast, mehr als einem Vorsegel und einem Großsegel",""
"366","Was versteht man unter dem Begriff formstabil","Die Tendenz des Bootes, sich bei Krängung wieder aufzurichten wird durch die Form des Rumpfes erreicht","Die Tendenz des Bootes, sich bei Krängung wieder aufzurichten wird durch ein Ballastgewicht am Kiel erreicht","Die Tendenz des Bootes, sich bei Krängung wieder aufzurichten wird durch die Form der Segel erreicht","Die Segel sind aufgrund ihrer Form stabil",""
"367","Was ist der Lazy Bag","Ein am Baum befestigter Segelsack, in den das Großsegel gefaltet wird, wenn es nicht benötigt wird","Ein Segelsack, in dem die Segel im Segelstauraum gelagert werden","Eine Vorrichtung, die das Segelsetzen bei einem Rollreff System erleichtern soll","Ein am Mast befestigter Segelsack, in den das Großsegel gefaltet wird, wenn es nicht benötigt wird",""
"368","Wie ist die Segelstellung beim Beiliegen","Das Vorsegel wird back gehalten, das Großsegel dicht genommen.","Beide Segel, sowohl Vorsegel als auch Großsegel werden back gehalten","Beide Segel, sowohl Vorsegel als auch Großsegel werden dicht genommen","Das Vorsegel wird dicht genommen, das Großsegel wird back gehalten",""
"369","Wie wird ein Baum-Rollgroßsegel gesetzt","Reffleine, falls vorhanden, fieren, Großfall anholen, bis die gewünschte Segelfläche gesetzt ist","Reffleine, falls vorhanden, fieren, Großschot anholen, bis die gewünschte Segelfläche gesetzt ist","Reffleine, falls vorhanden, anholen, Unterliekstrecker fieren, bis die gewünschte Segelfläche gesetzt ist","Reffleine, falls vorhanden, fieren, Unterliekstrecker anholen, bis die gewünschte Segelfläche gesetzt ist",""
"370","Auf welchen Kursen zum Wind entsteht Auftrieb im Segel","Auf allen Kursen kann Auftrieb entstehen, außer auf Kurs vor dem Wind","Auf allen Kursen kann Auftrieb entstehen, außer auf Kurs am Wind","Auf Kurs vor dem Wind","Auf allen Kursen kann Auftrieb entstehen, außer auf Kurs halber Wind",""
